"","landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange",".labelcount",".SCUMBLE"
"sd",1.63828794877481,1.34160467380492,2516.64701349397,94.3913148791371,2.90686336988218,2.07063962330783,1.09061358165765,2.56176133237095,1.35275343668575,0.377093638773052,0.391126132037723,0.302204433090987,0.377575137550295,4.93404905896557,0.227420230499202,0.363352712661471,0.442284196052176,0.419082145839262,0.302204433090987,0.408396609557027,0.501209776750292,0.501813571423807,0.501209776750292,0.424109874969343,0.446373197008682,0.339573375751663,1.22281485221218,0.0663895346821471
"mean",3.57364341085271,2.28682170542636,769.37984496124,22.4806201550388,3.83720930232558,3.29457364341085,0.496124031007752,1.54263565891473,3.51162790697674,0.147286821705426,0.162790697674419,0.10077519379845,0.170542635658915,1.62790697674419,1.05426356589147,1.15503875968992,1.26356589147287,1.22480620155039,1.10077519379845,0.790697674418605,0.472868217054264,0.511627906976744,0.472868217054264,0.767441860465116,0.271317829457364,0.131782945736434,3.41860465116279,0.0609919995271434
"median",4,2,112,3,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,3,0.0286124614758536
"sum",461,295,99250,2900,495,425,64,199,453,19,21,13,22,210,136,149,163,158,142,102,61,66,61,99,35,17,441,7.8679679390015
"max",6,4,22402,1008,10,8,5,14,8,2,2,1,1,50,2,2,2,2,2,1,1,1,1,1,1,1,7,0.292683051835655
"min",1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
"10%",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.0202041028867288
"25%",2,1,4,0,1,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0202989088392748
"50%",4,2,112,3,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,3,0.0286124614758536
"75%",5,4,447,14,7,5,0,3,4,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,0,4,0.0885561209787155
"90%",6,4,1254.4,40.2,9,7,3,5,5.2,1,1,0.200000000000003,1,5,1,2,2,2,1.2,1,1,1,1,1,1,1,5,0.182652274477364
