"labelset","frequency"
"0000101",1
"0010110",1
"0011010",1
"0011110",1
"0100000",1
"0100101",1
"0101001",1
"0101010",1
"0101100",1
"0110100",1
"0111010",1
"1000010",1
"1001100",1
"1010110",1
"1100010",1
"1100011",1
"1100101",1
"1101011",1
"1111000",1
"0010101",2
"0111100",2
"1011000",2
"1011110",2
"1101010",2
"1101100",2
"1110100",2
"1111100",2
"1111110",2
"1111111",2
"1001000",3
"1001010",3
"1100000",3
"0100100",4
"1100110",4
"1001110",5
"1100100",5
"1101110",5
"1011100",6
"1101000",7
"1111101",7
"0010100",8
"1000100",8
"1010100",22
