"labelset","n","mean_distance","cluster_neuron"
"001100",8,0.714055450816826,"C1N1"
"000100",109,0.592638473833872,"C1N1"
"001000",120,0.4708132134874,"C1N1"
"000101",2,0.965538642463094,"C1N3"
"100001",6,0.939993846187235,"C1N3"
"000001",135,0.144848983173836,"C1N3"
"100100",1,1.40476894732295,"C1N4"
"010000",121,0.553197041693791,"C1N4"
"100000",123,0.537802791830598,"C1N4"
"001010",4,0.965238093965193,"C2N2"
"100010",13,0.878337008102975,"C2N2"
"000110",25,0.770721521878783,"C2N2"
"000010",135,0.14081969702776,"C2N2"
