"labelset","mean_distance","n_instances"
"001110",0.240370602261289,22
"100001",0.32715066172913,27
"000001",0.350215336576401,24
"001000",0.398088718683878,14
"011000",0.408596701769128,25
"010000",0.478297438689407,7
"001100",0.592722518060177,10
"001010",0.618611268357974,9
"000110",0.63128412812563,12
"100000",0.861123786258041,8
"000010",0.863752364747341,4
"111000",0.89083177068303,4
"110000",0.960532507603309,13
"000100",0.983636043924518,2
"101000",1.02732330929976,1
"001001",1.03050649742143,1
"110001",1.05854051788587,2
"010001",1.08160519273314,2
"011100",1.15538401180812,2
"100011",1.16638657328732,1
"000011",1.18945124813459,4
"001011",1.25102904709553,1
"100010",1.49298695536323,2
"001101",1.57800355116821,1
