"labelset","mean_distance","n_instances"
"000001",0.0367108667175724,24
"011000",0.13530527481322,25
"001110",0.203239383573482,22
"100001",0.320191542525652,27
"100000",0.389597808959772,8
"001000",0.495788510935385,14
"000110",0.547535614223627,12
"110001",0.68401481545937,2
"000011",0.685045730621418,4
"001010",0.717361026708888,8
"110000",0.75342108189349,13
"001100",0.821027717127691,10
"010000",0.853033083820152,8
"111000",0.911231346308225,4
"001001",0.917971476696693,1
"010001",0.941442528943513,2
"000010",1.06165725735903,4
"011100",1.08680071081751,2
"000100",1.16532394777784,1
"100011",1.21998854127513,2
"100010",1.28939480770925,2
"000111",1.51843981525518,1
"001011",1.56630634060054,1
"010100",1.80452851982444,1
