"labelset","n","mean_distance","cluster_neuron"
"001110",1,1.58744152435833,"C1N1"
"001100",7,0.744295848457096,"C1N1"
"000100",109,0.592822778873046,"C1N1"
"001000",120,0.48597861954099,"C1N1"
"010000",121,0.185261126412697,"C1N3"
"000101",2,1.4021957211184,"C1N4"
"100001",7,0.685956005796367,"C1N4"
"100000",123,0.542117518502386,"C1N4"
"000001",135,0.507508368051527,"C1N4"
"001010",4,0.948001601751677,"C2N2"
"100010",13,0.880239483026722,"C2N2"
"000110",25,0.825540684816943,"C2N2"
"000010",135,0.133994323179637,"C2N2"
