"labelset","n","mean_distance","cluster_neuron"
"100100",1,0.970060770805652,"C1N1"
"000101",2,0.965424398523155,"C1N1"
"001100",8,0.878759937891938,"C1N1"
"000100",109,0.00464538142083255,"C1N1"
"001010",4,0.980139249792938,"C2N2"
"100010",13,0.881532189515585,"C2N2"
"000110",25,0.750787077588535,"C2N2"
"000010",135,0.0242812086891792,"C2N2"
"100000",123,0.578703639174785,"C3N3"
"100001",6,0.484374911862309,"C3N3"
"000001",135,0.427370090076809,"C3N3"
"010000",121,0.547001388326183,"C3N4"
"001000",120,0.455109635244905,"C3N4"
