"labelset","n","mean_distance","cluster_neuron"
"100100",1,1.34640634371136,"C1N1"
"001100",8,0.738178036055967,"C1N1"
"001000",120,0.594534957620418,"C1N1"
"000100",109,0.48131882007472,"C1N1"
"010000",121,0.56283356040818,"C1N4"
"100000",123,0.502281530351102,"C1N4"
"001010",4,0.981519039176834,"C2N2"
"100010",13,0.921115104279016,"C2N2"
"000110",25,0.774637619772361,"C2N2"
"000010",135,0.136640971763697,"C2N2"
"000101",2,0.980841096727469,"C3N3"
"100001",6,0.908620525149311,"C3N3"
"000001",135,0.156846379478724,"C3N3"
