"labelset","mean_distance","n_instances"
"011000",0.139242511641394,25
"110000",0.179458144922704,13
"001110",0.189462045187959,22
"000001",0.248097376330471,24
"100001",0.2729148804793,27
"001000",0.425053246065138,14
"100000",0.525805943002538,8
"000110",0.533053185057237,12
"010000",0.706147987590643,7
"001010",0.766516853095365,9
"001100",0.807689709300591,10
"111000",0.939288181490344,4
"110001",1.02006232987439,2
"000011",1.04985583337941,4
"011100",1.05604392177913,2
"100011",1.07467333752823,1
"000010",1.11010799296464,4
"000100",1.15128084916987,2
"010001",1.21289209959218,2
"001001",1.21861035807622,1
"101000",1.22509891591409,1
"100010",1.32297141012631,2
"001011",1.71811399026077,1
"001101",1.759286846466,1
