"labelset","n","mean_distance","cluster_neuron"
"001011",1,1.56630634060054,"C1N1"
"010001",2,0.941442528943513,"C1N1"
"001001",1,0.917971476696693,"C1N1"
"000011",4,0.685045730621418,"C1N1"
"000001",24,0.0367108667175724,"C1N1"
"100010",2,1.28939480770925,"C1N3"
"100011",1,1.21998854127513,"C1N3"
"110000",13,0.75342108189349,"C1N3"
"110001",2,0.68401481545937,"C1N3"
"100000",8,0.389597808959772,"C1N3"
"100001",27,0.320191542525652,"C1N3"
"101000",1,1.27171458243039,"C2N2"
"011100",2,1.08680071081751,"C2N2"
"111000",4,0.911231346308225,"C2N2"
"010000",7,0.853033083820152,"C2N2"
"001000",14,0.495788510935385,"C2N2"
"011000",25,0.13530527481322,"C2N2"
"001101",1,1.79193191815924,"C3N4"
"000100",2,1.16532394777784,"C3N4"
"000010",4,1.06165725735903,"C3N4"
"001100",10,0.821027717127691,"C3N4"
"001010",9,0.717361026708888,"C3N4"
"000110",12,0.547535614223627,"C3N4"
"001110",22,0.203239383573482,"C3N4"
