"labelset","n","mean_distance","cluster_neuron"
"000101",2,1.05734543968602,"C1N1"
"001100",8,0.959649954615453,"C1N1"
"000100",109,0.721271009883207,"C1N1"
"000001",135,0.691980929767881,"C1N1"
"001000",120,0.594285444697313,"C1N1"
"000011",1,1.01788852080526,"C1N3"
"001010",5,0.976980238791843,"C1N3"
"000110",25,0.678551913174039,"C1N3"
"000010",135,0.032048137127771,"C1N3"
"100001",6,0.956590207120877,"C1N4"
"100010",12,0.866139743438177,"C1N4"
"100000",123,0.00544851723057963,"C1N4"
"010000",122,2.41588652223935e-30,"C2N2"
