"","landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange",".labelcount",".SCUMBLE"
"sd",1.41455347670618,1.16684980247608,3143.52558481776,90.2386472723215,2.70354112515135,2.30415594424176,1.1195380228538,2.0276928913271,1.32323903300256,0.417179171985445,0.417179171985445,0.291712450619019,0.565430401076506,2.04633819296811,0.242185561406633,0.331082141794728,0.44289258986107,0.403112887414928,0.268543077764787,0.403112887414928,0.503354134397826,0.503831473655779,0.493710441453287,0.424603887804223,0.44289258986107,0.363609046176712,1.19333082652652,0.060925656880796
"mean",3.75384615384615,1.83076923076923,1015.66153846154,23.9538461538462,4.18461538461538,3.58461538461538,0.476923076923077,1.63076923076923,3.44615384615385,0.169230769230769,0.169230769230769,0.0923076923076923,0.153846153846154,1,1.06153846153846,1.12307692307692,1.26153846153846,1.2,1.07692307692308,0.8,0.476923076923077,0.507692307692308,0.4,0.769230769230769,0.261538461538462,0.153846153846154,3.36923076923077,0.0658854405932276
"median",4,1,128,5,4,3,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,3,0.0387610055699767
"sum",244,119,66018,1557,272,233,31,106,224,11,11,6,10,65,69,73,82,78,70,52,31,33,26,50,17,10,219,4.28255363855979
"max",6,4,22402,684,10,8,5,9,7,2,2,1,4,10,2,2,2,2,2,1,1,1,1,1,1,1,7,0.221532682846539
"min",1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
"10%",2,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.0212001922125349
"25%",3,1,12,1,2,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0217957825262809
"50%",4,1,128,5,4,3,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,3,0.0387610055699767
"75%",5,3,637,15,7,6,0,3,4,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,0,4,0.102822486771869
"90%",5,4,1615.2,30.2,8.6,7,2.6,3,5,1,1,0,0.600000000000001,2,1,2,2,2,1,1,1,1,1,1,1,1,5,0.165316836570841
