"","landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange",".labelcount",".SCUMBLE"
"sd",1.46004223070576,1.30063513680571,2279.39033009335,65.2766878368938,2.76967133578853,2.11454908419203,1.1151902859521,2.09535648125612,1.23011312267354,0.383001982741006,0.389868714810912,0.290579582453447,0.473508076624363,2.42325249479868,0.241245031401497,0.346719871152316,0.432435655679457,0.383079820762893,0.25482815423968,0.412679190764643,0.500982933662524,0.501874839181977,0.497099518033221,0.432435655679457,0.445276006008111,0.346719871152316,1.13816012384088,0.0642166621529446
"mean",3.60769230769231,2.14615384615385,688.646153846154,18.1769230769231,4.18461538461538,3.2,0.523076923076923,1.46923076923077,3.4,0.153846153846154,0.161538461538462,0.0923076923076923,0.153846153846154,1.06153846153846,1.06153846153846,1.13846153846154,1.24615384615385,1.17692307692308,1.06923076923077,0.784615384615385,0.469230769230769,0.492307692307692,0.430769230769231,0.753846153846154,0.269230769230769,0.138461538461538,3.33846153846154,0.0630887251489889
"median",4,1.5,112.5,5,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0321514702863795
"sum",469,279,89524,2363,544,416,68,191,442,20,21,12,20,138,138,148,162,153,139,102,61,64,56,98,35,18,434,8.20153426936856
"max",6,4,22402,684,10,8,5,11,7,2,2,1,4,15,2,2,2,2,2,1,1,1,1,1,1,1,7,0.275862068965517
"min",1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
"10%",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.0214083725847494
"25%",3,1,11,0,2,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0229125824056136
"50%",4,1.5,112.5,5,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0321514702863795
"75%",5,4,471.25,15,7,5,0,3,4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,4,0.0876072285967239
"90%",5,4,1313.1,36.2,9,7,3,3,5,1,1,0,1,3.10000000000001,1,2,2,2,1,1,1,1,1,1,1,1,5,0.179801942455634
