"","Mean_Acc1298_Mean_Mem40_Centroid","Mean_Acc1298_Mean_Mem40_Rolloff","Mean_Acc1298_Mean_Mem40_Flux","Mean_Acc1298_Mean_Mem40_MFCC_0","Mean_Acc1298_Mean_Mem40_MFCC_1","Mean_Acc1298_Mean_Mem40_MFCC_2","Mean_Acc1298_Mean_Mem40_MFCC_3","Mean_Acc1298_Mean_Mem40_MFCC_4","Mean_Acc1298_Mean_Mem40_MFCC_5","Mean_Acc1298_Mean_Mem40_MFCC_6","Mean_Acc1298_Mean_Mem40_MFCC_7","Mean_Acc1298_Mean_Mem40_MFCC_8","Mean_Acc1298_Mean_Mem40_MFCC_9","Mean_Acc1298_Mean_Mem40_MFCC_10","Mean_Acc1298_Mean_Mem40_MFCC_11","Mean_Acc1298_Mean_Mem40_MFCC_12","Mean_Acc1298_Std_Mem40_Centroid","Mean_Acc1298_Std_Mem40_Rolloff","Mean_Acc1298_Std_Mem40_Flux","Mean_Acc1298_Std_Mem40_MFCC_0","Mean_Acc1298_Std_Mem40_MFCC_1","Mean_Acc1298_Std_Mem40_MFCC_2","Mean_Acc1298_Std_Mem40_MFCC_3","Mean_Acc1298_Std_Mem40_MFCC_4","Mean_Acc1298_Std_Mem40_MFCC_5","Mean_Acc1298_Std_Mem40_MFCC_6","Mean_Acc1298_Std_Mem40_MFCC_7","Mean_Acc1298_Std_Mem40_MFCC_8","Mean_Acc1298_Std_Mem40_MFCC_9","Mean_Acc1298_Std_Mem40_MFCC_10","Mean_Acc1298_Std_Mem40_MFCC_11","Mean_Acc1298_Std_Mem40_MFCC_12","Std_Acc1298_Mean_Mem40_Centroid","Std_Acc1298_Mean_Mem40_Rolloff","Std_Acc1298_Mean_Mem40_Flux","Std_Acc1298_Mean_Mem40_MFCC_0","Std_Acc1298_Mean_Mem40_MFCC_1","Std_Acc1298_Mean_Mem40_MFCC_2","Std_Acc1298_Mean_Mem40_MFCC_3","Std_Acc1298_Mean_Mem40_MFCC_4","Std_Acc1298_Mean_Mem40_MFCC_5","Std_Acc1298_Mean_Mem40_MFCC_6","Std_Acc1298_Mean_Mem40_MFCC_7","Std_Acc1298_Mean_Mem40_MFCC_8","Std_Acc1298_Mean_Mem40_MFCC_9","Std_Acc1298_Mean_Mem40_MFCC_10","Std_Acc1298_Mean_Mem40_MFCC_11","Std_Acc1298_Mean_Mem40_MFCC_12","Std_Acc1298_Std_Mem40_Centroid","Std_Acc1298_Std_Mem40_Rolloff","Std_Acc1298_Std_Mem40_Flux","Std_Acc1298_Std_Mem40_MFCC_0","Std_Acc1298_Std_Mem40_MFCC_1","Std_Acc1298_Std_Mem40_MFCC_2","Std_Acc1298_Std_Mem40_MFCC_3","Std_Acc1298_Std_Mem40_MFCC_4","Std_Acc1298_Std_Mem40_MFCC_5","Std_Acc1298_Std_Mem40_MFCC_6","Std_Acc1298_Std_Mem40_MFCC_7","Std_Acc1298_Std_Mem40_MFCC_8","Std_Acc1298_Std_Mem40_MFCC_9","Std_Acc1298_Std_Mem40_MFCC_10","Std_Acc1298_Std_Mem40_MFCC_11","Std_Acc1298_Std_Mem40_MFCC_12","BH_LowPeakAmp","BH_LowPeakBPM","BH_HighPeakAmp","BH_HighPeakBPM","BH_HighLowRatio","BHSUM1","BHSUM2","BHSUM3","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive",".labelcount",".SCUMBLE"
"sd",0.030276392689214,0.116598578039679,0.00898353091319315,7.44653198776593,2.01859309294012,1.01000386269551,0.626155014952365,0.453895752241514,0.378190202990502,0.303752872173268,0.293516834502137,0.281501167480981,0.241531763970503,0.210285246152166,0.21456601014434,0.19980846285936,0.0297817306164638,0.10820836211262,0.00822774001157327,1.49567419496302,0.398230297679011,0.268092762426923,0.213415177483968,0.153963787454318,0.10604840790317,0.0953203074894211,0.0911845442049372,0.0816061880865134,0.0759958313748555,0.0679366632977747,0.0717407920806946,0.0694214143592975,0.0102065732375096,0.0326000198479363,0.00137967938281352,1.75042657091991,0.351954861873469,0.250483804123398,0.212900358033057,0.153283540856257,0.137855235765394,0.14367180435142,0.14665141405138,0.149549934341159,0.147905582515703,0.152978524993809,0.142536376572856,0.155161400325332,0.00752286659070095,0.0247143362621963,0.000927772703887108,0.479039353773073,0.137733009306567,0.085349633035883,0.0788413945800581,0.0626452940998193,0.0410064163011805,0.0387420359519025,0.0380132723149232,0.0413713146426042,0.0458652726272586,0.0451834714416165,0.05113310446379,0.0544040499462359,0.294138796501704,14.5196794266736,0.361371334272321,29.9139562225185,0.317770570991498,0.344672514287117,0.355628322875204,0.64326602148931,0.455681995544922,0.450943405815729,0.497808777369621,0.43209080957031,0.44971541954115,0.467338822199364,0.672105737201585,0.0142077328807802
"mean",0.0681127550505051,0.193445303030303,0.0859126742424242,-72.9157936136364,4.96283744191919,0.614034431818182,1.69142860353535,0.63399070959596,0.835406702020202,0.508421608585859,0.546101699494949,0.475816717171717,0.50550279040404,0.470453904040404,0.435435121212121,0.449726987373737,0.045704547979798,0.158767297979798,0.0359172424242424,4.58013057828283,1.31531197979798,0.938826151515151,0.777531055555556,0.649925159090909,0.57628647979798,0.552692590909091,0.535558893939394,0.516276535353535,0.505690308080808,0.488728984848485,0.48114054040404,0.46494778030303,0.0235798560606061,0.0636529116161616,0.00810824747474747,3.57897896969697,0.853992914141414,0.614540143939394,0.499284727272727,0.386217684343434,0.331861782828283,0.314954686868687,0.308375782828283,0.301259396464646,0.295448868686869,0.280783121212121,0.271526949494949,0.264662196969697,0.028964946969697,0.0667650101010101,0.0295603585858586,4.14510986363636,0.412138681818182,0.235894598484848,0.197194424242424,0.150486982323232,0.123023601010101,0.115146151515152,0.11269948989899,0.111368116161616,0.112157255050505,0.106057421717172,0.107142618686869,0.10392625,0.233447017676768,74.6085858585859,0.254261416666667,156.237373737374,2.11363636363636,0.419230916666667,0.352788515151515,0.971460876262626,0.292929292929293,0.282828282828283,0.446969696969697,0.247474747474747,0.28030303030303,0.320707070707071,1.87121212121212,0.0112303921938667
"median",0.064187,0.1669045,0.083803,-72.307452,4.704714,0.636639,1.740189,0.6195445,0.821689,0.5212785,0.527167,0.474506,0.502805,0.4885535,0.4244365,0.4558035,0.0372305,0.125706,0.0343705,4.5024745,1.2839135,0.9307745,0.7417375,0.6219845,0.5565995,0.538288,0.518095,0.5110145,0.5008945,0.4831975,0.4787325,0.459348,0.02099,0.054999,0.0078325,3.2265615,0.7827295,0.5775825,0.4566915,0.375558,0.3130295,0.2856535,0.285102,0.2807195,0.2711755,0.249649,0.2461565,0.2316965,0.0272875,0.062442,0.029742,4.0861595,0.395039,0.2290385,0.1810545,0.1412995,0.119912,0.1108945,0.10697,0.1058835,0.1031095,0.097716,0.0949435,0.0885835,0.108996,71,0.0933045,149,2,0.310769,0.24675,0.8220965,0,0,0,0,0,0,2,0.00102509822559604
"sum",26.972651,76.60434,34.021419,-28874.654271,1965.283627,243.157635,669.805727,251.060321,330.821054,201.334957,216.256273,188.42342,200.179105,186.299746,172.432308,178.091887,18.099001,62.87185,14.223228,1813.731709,520.863544,371.775156,307.902298,257.370363,228.209446,218.866266,212.081322,204.445508,200.253362,193.536678,190.531654,184.119321,9.337623,25.206553,3.210866,1417.275672,338.181194,243.357897,197.716752,152.942203,131.417266,124.722056,122.11681,119.298721,116.997752,111.190116,107.524672,104.80623,11.470119,26.438944,11.705902,1641.463506,163.206918,93.414261,78.088992,59.592845,48.717346,45.597876,44.628998,44.101774,44.414273,41.998739,42.428477,41.154795,92.445019,29545,100.687521,61870,837,166.015443,139.704252,384.698507,116,112,177,98,111,127,741,4.44723530877121
"max",0.188637,0.698277,0.15078,-56.806065,12.069754,3.339658,4.38237,2.25271,2.358098,1.439812,1.689284,1.846221,1.064865,1.006386,1.088186,1.246864,0.159724,0.469152,0.110101,11.216391,2.664195,1.902159,1.491016,1.321038,1.013231,0.825064,0.870778,1.098111,0.757003,0.757566,0.759374,0.796306,0.116201,0.234718,0.02273,13.447154,2.410458,2.202609,1.472541,1.025277,1.038158,1.155625,1.334833,1.075426,1.169477,1.28184,1.16005,1.809666,0.063173,0.186134,0.031006,5.790787,1.046212,0.618704,0.543927,0.415798,0.271085,0.241432,0.304417,0.276417,0.292325,0.308444,0.337381,0.399116,1.556545,115,1.762948,237,3,1.795128,1.797765,3.422899,1,1,1,1,1,1,3,0.0421511705048183
"min",0.010201,0.038286,0.071607,-99.090802,0.051474,-2.277307,-0.604609,-1.143864,-0.237114,-0.444623,-0.385878,-0.451919,-0.274967,-0.258025,-0.394065,-0.129515,0.006918,0.017434,0.026316,1.665689,0.621623,0.426085,0.436355,0.375337,0.376085,0.329479,0.322254,0.327975,0.296855,0.297832,0.281625,0.273264,0.010574,0.018333,0.005696,1.103874,0.254721,0.107836,0.124533,0.057821,0.073824,0.05288,0.068473,0.055301,0.059252,0.048837,0.050827,0.033739,0.008712,0.015678,0.02441,3.140648,0.108396,0.048375,0.05266,0.03448,0.039299,0.02421,0.036153,0.032399,0.035843,0.038015,0.035496,0.031945,0.005956,52,0,104,2,0,0,0.085826,0,0,0,0,0,0,1,0
"10%",0.0331125,0.068564,0.0769995,-82.142225,2.591007,-0.6780845,0.925238,0.1297325,0.370202,0.117035,0.203976,0.145078,0.185635,0.205451,0.188217,0.193729,0.017424,0.0452355,0.0286335,2.683766,0.8090655,0.6100265,0.5305295,0.485297,0.4582395,0.4410065,0.4307465,0.421011,0.4151825,0.4061775,0.397891,0.3841275,0.014846,0.03627,0.006837,1.7701955,0.4790495,0.3408995,0.272998,0.210939,0.1785725,0.1673715,0.160587,0.150228,0.1356275,0.137543,0.1317445,0.123212,0.022943,0.043667,0.0284735,3.5807705,0.24916,0.1377415,0.109593,0.078993,0.073292,0.067805,0.070457,0.0636345,0.0641185,0.057699,0.059298,0.055692,0.02586,57,0,122,2,0.090429,0.031472,0.3173875,0,0,0,0,0,0,1,0
"25%",0.044675,0.10820775,0.0791355,-76.92964375,3.45959975,-0.0733575,1.3101115,0.367009,0.604618,0.3142575,0.37459925,0.30442625,0.3389105,0.3381495,0.306979,0.31745925,0.0234425,0.0662625,0.03008475,3.48042025,1.0149345,0.72460325,0.6008365,0.530357,0.49703525,0.48443075,0.471567,0.4604425,0.451279,0.4416495,0.43171025,0.418517,0.01697375,0.0420315,0.00732675,2.36391725,0.612437,0.427376,0.352535,0.28166825,0.24148425,0.220837,0.21156125,0.20308175,0.197709,0.18135375,0.18027525,0.174514,0.02483575,0.05112975,0.02900125,3.794672,0.31400125,0.1728315,0.137139,0.10210825,0.0932315,0.08690525,0.08491175,0.08278525,0.08153625,0.076859,0.07353125,0.07117875,0.04913475,64,0.0080885,134,2,0.18420325,0.10276,0.52494225,0,0,0,0,0,0,1,0
"50%",0.064187,0.1669045,0.083803,-72.307452,4.704714,0.636639,1.740189,0.6195445,0.821689,0.5212785,0.527167,0.474506,0.502805,0.4885535,0.4244365,0.4558035,0.0372305,0.125706,0.0343705,4.5024745,1.2839135,0.9307745,0.7417375,0.6219845,0.5565995,0.538288,0.518095,0.5110145,0.5008945,0.4831975,0.4787325,0.459348,0.02099,0.054999,0.0078325,3.2265615,0.7827295,0.5775825,0.4566915,0.375558,0.3130295,0.2856535,0.285102,0.2807195,0.2711755,0.249649,0.2461565,0.2316965,0.0272875,0.062442,0.029742,4.0861595,0.395039,0.2290385,0.1810545,0.1412995,0.119912,0.1108945,0.10697,0.1058835,0.1031095,0.097716,0.0949435,0.0885835,0.108996,71,0.0933045,149,2,0.310769,0.24675,0.8220965,0,0,0,0,0,0,2,0.00102509822559604
"75%",0.08497375,0.25336,0.091947,-68.2336515,6.30745925,1.29929725,2.0649295,0.94081425,1.04712975,0.7155705,0.7121585,0.6487155,0.6774155,0.59495375,0.5705585,0.57105,0.06035675,0.24191775,0.03951175,5.4706015,1.5762335,1.11982675,0.93188175,0.741623,0.6389595,0.616786,0.59801275,0.56519475,0.547122,0.52607275,0.52032725,0.502011,0.02696625,0.07213425,0.00868025,4.363261,1.058685,0.75160975,0.602342,0.47318825,0.4036985,0.38624225,0.37392325,0.3663655,0.36532675,0.333982,0.32980825,0.32370975,0.0310215,0.07755325,0.030268,4.437218,0.49368475,0.29146825,0.25021,0.1874035,0.14552275,0.1423025,0.1347665,0.1333885,0.13037325,0.12460925,0.1235195,0.11951525,0.29148025,84,0.36026025,180,2,0.54428975,0.46955925,1.259024,1,1,1,0,1,1,2,0.0256212646755409
