"labelset","frequency"
"0010101",1
"0011000",1
"0011010",1
"0011110",1
"0101000",1
"0110101",1
"0111000",1
"0111010",1
"1000010",1
"1000111",1
"1001100",1
"1011101",1
"1011111",1
"1100000",1
"1100010",1
"1100101",1
"1101001",1
"1101011",1
"1101100",1
"1110101",1
"1111000",1
"0100100",2
"0100101",2
"0111100",2
"1000110",2
"1001110",2
"1010110",2
"1011110",2
"1101110",2
"1111111",2
"0011100",3
"1001000",3
"1001010",3
"1011100",3
"1110100",3
"1111110",3
"1101010",4
"1111100",4
"1111101",4
"1011000",5
"1100110",5
"0010100",6
"1101000",6
"1000100",9
"1100100",9
"1010100",16
