"","landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange",".labelcount",".SCUMBLE"
"sd",1.69095684107051,1.33146715095925,3215.82204173242,125.580371346477,3.18845423508119,1.83110381367922,0.9762743873801,2.20873643154653,1.26379852063818,0.380133238184164,0.449495312328868,0.35460675480613,0.405103840897162,2.53273538059129,0.235400657891435,0.35460675480613,0.425127231344158,0.434057366141216,0.261153582247854,0.442325868464691,0.501064510466231,0.503186775408786,0.499360204472425,0.425127231344158,0.434057366141216,0.339248454773925,1.18079979253158,0.0671167307863898
"mean",3.60869565217391,2.18840579710145,1062.08695652174,31.5217391304348,4.26086956521739,3,0.420289855072464,1.21739130434783,3.30434782608696,0.130434782608696,0.217391304347826,0.144927536231884,0.202898550724638,1.3768115942029,1.05797101449275,1.14492753623188,1.23188405797101,1.2463768115942,1.07246376811594,0.739130434782609,0.449275362318841,0.478260869565217,0.434782608695652,0.768115942028985,0.246376811594203,0.130434782608696,3.2463768115942,0.0631404631880264
"median",4,2,128,3,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0307745251208841
"sum",249,151,73284,2175,294,207,29,84,228,9,15,10,14,95,73,79,85,86,74,51,31,33,30,53,17,9,224,4.35669195997382
"max",6,4,22402,1008,10,8,3,11,7,2,2,1,1,14,2,2,2,2,2,1,1,1,1,1,1,1,6,0.29547323652124
"min",1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
"10%",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.0190628250060337
"25%",2,1,9,0,1,2,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,2,0.0237822991720799
"50%",4,2,128,3,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0307745251208841
"75%",5,4,648,15,7,3,0,2,4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,4,0.0940523048808863
"90%",6,4,1604.8,50.6,9,6,2.2,3.40000000000001,5,1,1,1,1,5,1,2,2,2,1,1,1,1,1,1,1,1,5,0.187149940316476
