"","Mean_Acc1298_Mean_Mem40_Centroid","Mean_Acc1298_Mean_Mem40_Rolloff","Mean_Acc1298_Mean_Mem40_Flux","Mean_Acc1298_Mean_Mem40_MFCC_0","Mean_Acc1298_Mean_Mem40_MFCC_1","Mean_Acc1298_Mean_Mem40_MFCC_2","Mean_Acc1298_Mean_Mem40_MFCC_3","Mean_Acc1298_Mean_Mem40_MFCC_4","Mean_Acc1298_Mean_Mem40_MFCC_5","Mean_Acc1298_Mean_Mem40_MFCC_6","Mean_Acc1298_Mean_Mem40_MFCC_7","Mean_Acc1298_Mean_Mem40_MFCC_8","Mean_Acc1298_Mean_Mem40_MFCC_9","Mean_Acc1298_Mean_Mem40_MFCC_10","Mean_Acc1298_Mean_Mem40_MFCC_11","Mean_Acc1298_Mean_Mem40_MFCC_12","Mean_Acc1298_Std_Mem40_Centroid","Mean_Acc1298_Std_Mem40_Rolloff","Mean_Acc1298_Std_Mem40_Flux","Mean_Acc1298_Std_Mem40_MFCC_0","Mean_Acc1298_Std_Mem40_MFCC_1","Mean_Acc1298_Std_Mem40_MFCC_2","Mean_Acc1298_Std_Mem40_MFCC_3","Mean_Acc1298_Std_Mem40_MFCC_4","Mean_Acc1298_Std_Mem40_MFCC_5","Mean_Acc1298_Std_Mem40_MFCC_6","Mean_Acc1298_Std_Mem40_MFCC_7","Mean_Acc1298_Std_Mem40_MFCC_8","Mean_Acc1298_Std_Mem40_MFCC_9","Mean_Acc1298_Std_Mem40_MFCC_10","Mean_Acc1298_Std_Mem40_MFCC_11","Mean_Acc1298_Std_Mem40_MFCC_12","Std_Acc1298_Mean_Mem40_Centroid","Std_Acc1298_Mean_Mem40_Rolloff","Std_Acc1298_Mean_Mem40_Flux","Std_Acc1298_Mean_Mem40_MFCC_0","Std_Acc1298_Mean_Mem40_MFCC_1","Std_Acc1298_Mean_Mem40_MFCC_2","Std_Acc1298_Mean_Mem40_MFCC_3","Std_Acc1298_Mean_Mem40_MFCC_4","Std_Acc1298_Mean_Mem40_MFCC_5","Std_Acc1298_Mean_Mem40_MFCC_6","Std_Acc1298_Mean_Mem40_MFCC_7","Std_Acc1298_Mean_Mem40_MFCC_8","Std_Acc1298_Mean_Mem40_MFCC_9","Std_Acc1298_Mean_Mem40_MFCC_10","Std_Acc1298_Mean_Mem40_MFCC_11","Std_Acc1298_Mean_Mem40_MFCC_12","Std_Acc1298_Std_Mem40_Centroid","Std_Acc1298_Std_Mem40_Rolloff","Std_Acc1298_Std_Mem40_Flux","Std_Acc1298_Std_Mem40_MFCC_0","Std_Acc1298_Std_Mem40_MFCC_1","Std_Acc1298_Std_Mem40_MFCC_2","Std_Acc1298_Std_Mem40_MFCC_3","Std_Acc1298_Std_Mem40_MFCC_4","Std_Acc1298_Std_Mem40_MFCC_5","Std_Acc1298_Std_Mem40_MFCC_6","Std_Acc1298_Std_Mem40_MFCC_7","Std_Acc1298_Std_Mem40_MFCC_8","Std_Acc1298_Std_Mem40_MFCC_9","Std_Acc1298_Std_Mem40_MFCC_10","Std_Acc1298_Std_Mem40_MFCC_11","Std_Acc1298_Std_Mem40_MFCC_12","BH_LowPeakAmp","BH_LowPeakBPM","BH_HighPeakAmp","BH_HighPeakBPM","BH_HighLowRatio","BHSUM1","BHSUM2","BHSUM3","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive",".labelcount",".SCUMBLE"
"sd",0.0331928174431808,0.119806766019972,0.00980019571485521,7.86046052806812,2.17971138608797,1.03490545138904,0.566681786127673,0.439354569451376,0.348528681008525,0.303089023019872,0.326401156612775,0.285505289569912,0.249909682303308,0.238140971887141,0.234060871484616,0.205333120496917,0.0296421119665487,0.110360125307533,0.00921092999914985,1.68854319774967,0.411721800982669,0.276189962664978,0.21393868646881,0.155554802187316,0.110390481791915,0.0920097231038951,0.0892223729459941,0.0870292924932966,0.0907730698131058,0.0814001405654489,0.0798312135393188,0.091774929706465,0.0117975848169885,0.0284804927789793,0.00169065898215757,1.91598500535508,0.403961932624939,0.273650547467095,0.189070220539816,0.151665148919726,0.13313765619599,0.127744960924431,0.143167745112537,0.176146550613069,0.164135416896502,0.179161332463031,0.176225844987205,0.178246965516075,0.00714045480146614,0.0216746968220366,0.00205144685280637,0.566253209462189,0.131330322258728,0.0875109623849705,0.0797262656571403,0.0564251241276465,0.0426718658541566,0.0368947034165877,0.0388472325497015,0.0508049870083012,0.0512791190241221,0.0566767680265043,0.0586008299947178,0.0679439209380206,0.299933618275172,14.8230087749846,0.377322114098289,29.5625247146168,0.311391512720804,0.329540213227224,0.376128602879027,0.669761268030712,0.45461137368938,0.447202013106226,0.497845768485796,0.436297295372363,0.45461137368938,0.465587787622281,0.674988633259498,0.0132592012883472
"mean",0.071715,0.199326375634518,0.0852564111675127,-73.1639343654822,5.01202529949239,0.578997664974619,1.70105020812183,0.634489406091371,0.831065263959391,0.507332406091371,0.526083751269036,0.461867756345178,0.516396736040609,0.492147538071066,0.44687978680203,0.436550883248731,0.0458551725888325,0.154938746192893,0.0354898121827411,4.5640303857868,1.26562964974619,0.946620319796954,0.779290898477157,0.650585319796954,0.579732725888325,0.552103208121827,0.537963091370558,0.522924487309645,0.516685969543147,0.499244807106599,0.488734817258883,0.479137248730964,0.0246409644670051,0.062502461928934,0.00819521827411167,3.76854835532995,0.866059390862944,0.642675578680203,0.49900878680203,0.384084517766497,0.331929456852792,0.310247654822335,0.306652502538071,0.311805005076142,0.306099868020305,0.300622187817259,0.29412421319797,0.28651678680203,0.0287710609137056,0.0658238274111675,0.0294605126903553,4.15138860406091,0.400347370558376,0.246458131979695,0.201388187817259,0.152218177664975,0.123286355329949,0.116139837563452,0.117158532994924,0.116744121827411,0.117085436548223,0.117896116751269,0.115370634517766,0.113521192893401,0.22309645177665,74.1522842639594,0.234975284263959,153.162436548223,2.07106598984772,0.400294152284264,0.359146837563452,0.936679015228426,0.289340101522843,0.274111675126904,0.441624365482233,0.253807106598985,0.289340101522843,0.314720812182741,1.86294416243655,0.0104366687328654
"median",0.066723,0.173846,0.083193,-72.73539,4.415362,0.53928,1.697092,0.603551,0.818205,0.565179,0.518991,0.44187,0.499772,0.479452,0.456869,0.429694,0.038649,0.118596,0.033111,4.222017,1.189584,0.907755,0.725296,0.631925,0.564312,0.550943,0.528093,0.515967,0.501448,0.487824,0.480167,0.463695,0.02171,0.053589,0.007915,3.317567,0.773254,0.594303,0.492559,0.362126,0.310762,0.293793,0.289997,0.281831,0.272826,0.25163,0.244572,0.242098,0.027207,0.061942,0.029864,4.059735,0.390855,0.244085,0.18731,0.142821,0.118528,0.113705,0.112399,0.105923,0.106779,0.107838,0.100552,0.089506,0.09538,70,0.057246,150,2,0.303676,0.239097,0.760995,0,0,0,0,0,0,2,0.000883095952816881
"sum",14.127855,39.267296,16.795513,-14413.29507,987.368984,114.06254,335.106891,124.994413,163.719857,99.944484,103.638499,90.987948,101.730157,96.953065,88.035318,86.000524,9.033469,30.522933,6.991493,899.113986,249.329041,186.484203,153.520307,128.165308,114.207347,108.764332,105.978729,103.016124,101.787136,98.351227,96.280759,94.390038,4.85427,12.312985,1.614458,742.404026,170.6137,126.607089,98.304731,75.66465,65.390103,61.118788,60.410543,61.425586,60.301674,59.222571,57.94247,56.443807,5.667899,12.967294,5.803721,817.823555,78.868432,48.552252,39.673473,29.986981,24.287412,22.879548,23.080231,22.998592,23.065831,23.225535,22.728015,22.363675,43.950001,14608,46.290131,30173,408,78.857948,70.751927,184.525766,57,54,87,50,57,62,367,2.05602374037448
"max",0.195412,0.666776,0.15946,-56.297652,11.853471,3.910873,3.468003,2.046689,1.615398,1.484489,1.72242,1.564683,1.056599,1.290063,1.876704,1.168054,0.168399,0.471795,0.11619,15.262381,3.664476,2.04521,1.390237,1.120215,1.016693,0.805382,0.829619,1.000042,0.842697,0.852488,0.772496,1.001184,0.117437,0.180275,0.021227,10.969816,2.925425,1.734866,1.266604,0.99839,1.012256,0.790284,1.229979,1.729741,0.997081,1.112546,1.181478,1.19476,0.05967,0.146787,0.032048,6.536928,0.958856,0.477444,0.528945,0.353845,0.26485,0.21562,0.245309,0.411033,0.296556,0.355242,0.471506,0.415202,1.598533,115,1.702666,230,3,1.67105,1.738105,3.331277,1,1,1,1,1,1,3,0.0371601490311739
"min",0.015754,0.038729,0.070932,-97.510495,0.390556,-1.634802,0.306131,-0.706234,-0.133312,-0.363235,-0.895966,-0.196176,-0.29477,-0.186371,-0.275685,-0.047387,0.010834,0.025847,0.025297,1.833738,0.54449,0.487918,0.452744,0.343973,0.398196,0.335192,0.322271,0.329729,0.310128,0.325899,0.302748,0.298141,0.010684,0.021973,0.005918,1.223107,0.181559,0.125179,0.079273,0.055489,0.040192,0.048815,0.091162,0.065086,0.057608,0.048231,0.041973,0.040482,0.009829,0.022982,0.00909,1.90852,0.105014,0.067745,0.068848,0.055977,0.050304,0.049677,0.04573,0.04473,0.046608,0.040028,0.032472,0.035587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10%",0.0354524,0.0699908,0.0759796,-83.1899388,2.5394982,-0.7312512,0.9753864,0.1699564,0.3945734,0.0847054,0.1491646,0.1137582,0.2048792,0.2045558,0.1924896,0.1647998,0.0158728,0.0397458,0.0282302,2.6496514,0.8220308,0.620198,0.5354778,0.471176,0.4552416,0.4481012,0.429288,0.4277516,0.419317,0.410705,0.4042524,0.3909392,0.0150578,0.0350198,0.0068478,1.9258698,0.4579112,0.3476588,0.2534062,0.2164084,0.1916802,0.1800582,0.1654892,0.1658962,0.150544,0.1425414,0.1295266,0.1229744,0.0227124,0.044289,0.0284044,3.5873074,0.2460476,0.1371244,0.1103242,0.0864434,0.0748934,0.0685354,0.0717384,0.0689056,0.065049,0.0639314,0.0626204,0.0589804,0.0230096,59,0,121.2,2,0.0898238,0.027776,0.3148334,0,0,0,0,0,0,1,0
"25%",0.045029,0.102815,0.07856,-77.361789,3.313745,-0.197825,1.300283,0.382039,0.613458,0.293254,0.355602,0.283796,0.399621,0.365712,0.304059,0.305547,0.02251,0.061356,0.029793,3.480119,1.002532,0.7356,0.59471,0.534109,0.491109,0.482979,0.475634,0.454903,0.460399,0.438189,0.429844,0.417953,0.01775,0.04297,0.007331,2.433211,0.602375,0.452577,0.379087,0.284354,0.245601,0.224544,0.212126,0.206572,0.193989,0.193277,0.183747,0.175464,0.024743,0.052091,0.029192,3.730856,0.302402,0.184386,0.13987,0.108279,0.090022,0.089534,0.089681,0.082425,0.082589,0.081515,0.078474,0.072196,0.042654,64,0.007512,132,2,0.167846,0.082193,0.503774,0,0,0,0,0,0,1,0
"50%",0.066723,0.173846,0.083193,-72.73539,4.415362,0.53928,1.697092,0.603551,0.818205,0.565179,0.518991,0.44187,0.499772,0.479452,0.456869,0.429694,0.038649,0.118596,0.033111,4.222017,1.189584,0.907755,0.725296,0.631925,0.564312,0.550943,0.528093,0.515967,0.501448,0.487824,0.480167,0.463695,0.02171,0.053589,0.007915,3.317567,0.773254,0.594303,0.492559,0.362126,0.310762,0.293793,0.289997,0.281831,0.272826,0.25163,0.244572,0.242098,0.027207,0.061942,0.029864,4.059735,0.390855,0.244085,0.18731,0.142821,0.118528,0.113705,0.112399,0.105923,0.106779,0.107838,0.100552,0.089506,0.09538,70,0.057246,150,2,0.303676,0.239097,0.760995,0,0,0,0,0,0,2,0.000883095952816881
"75%",0.09219,0.27455,0.090604,-68.463418,6.708323,1.290684,2.081659,0.890336,1.051645,0.693156,0.718551,0.642332,0.690093,0.627495,0.588575,0.568303,0.0607,0.238844,0.038841,5.610735,1.480567,1.105873,0.952171,0.766,0.64278,0.607518,0.594357,0.576171,0.562172,0.550436,0.527761,0.516715,0.027801,0.073907,0.008588,4.512319,1.043603,0.771874,0.58815,0.477785,0.403181,0.365417,0.365866,0.360795,0.370361,0.351332,0.354111,0.338372,0.030626,0.077637,0.030264,4.47449,0.479889,0.297966,0.250023,0.186985,0.148151,0.138597,0.137424,0.13602,0.134565,0.134104,0.130188,0.129704,0.234447,85,0.274301,176,2,0.492143,0.475867,1.216185,1,1,1,1,1,1,2,0.0262081442934736
