"","landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange",".labelcount",".SCUMBLE"
"sd",1.58880262629149,1.35546602155614,1267.29750318618,30.7886682140602,2.48265167150648,2.28455882820908,1.21140997366448,2.8894411322083,1.42168436745924,0.375823014001414,0.302531690453766,0.219784177651083,0.342803331800882,6.72786179211384,0.219784177651083,0.375823014001414,0.462124790542445,0.403375587271689,0.342803331800882,0.360084735790276,0.504219484089611,0.501692052213544,0.503939284299098,0.426521868085099,0.462124790542445,0.342803331800882,1.24997175109323,0.0660428341766031
"mean",3.53333333333333,2.4,432.766666666667,12.0833333333333,3.35,3.63333333333333,0.583333333333333,1.91666666666667,3.75,0.166666666666667,0.1,0.05,0.133333333333333,1.91666666666667,1.05,1.16666666666667,1.3,1.2,1.13333333333333,0.85,0.5,0.55,0.516666666666667,0.766666666666667,0.3,0.133333333333333,3.61666666666667,0.0596152870200909
"median",4,2,105.5,5,2,3,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0.5,1,1,1,0,0,3,0.0270315903158441
"sum",212,144,25966,725,201,218,35,115,225,10,6,3,8,115,63,70,78,72,68,51,30,33,31,46,18,8,217,3.57691722120545
"max",6,4,9363,231,10,8,5,14,8,1,1,1,1,50,2,2,2,2,2,1,1,1,1,1,1,1,7,0.262790990999864
"min",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.00132939890207562
"10%",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.0175938920838127
"25%",2.75,1,4,0,2,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0175938920838127
"50%",4,2,105.5,5,2,3,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0.5,1,1,1,0,0,3,0.0270315903158441
"75%",5,4,315.5,13,4,6,0,3,4,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,0,4,0.0724205678888644
"90%",5.1,4,927,22,7,7,3,5,6,1,0.100000000000001,0,1,2.3,1,2,2,2,2,1,1,1,1,1,1,1,5.1,0.184009812189385
