"labelset","n","mean_distance","cluster_neuron"
"001100",8,0.696914065746777,"C1N1"
"000100",109,0.601378701268116,"C1N1"
"001000",120,0.461128655164032,"C1N1"
"000101",2,1.32186767250781,"C1N4"
"010000",121,0.648216200100577,"C1N4"
"000001",135,0.457655883624984,"C1N4"
"100010",13,0.981399188635152,"C2N2"
"001010",4,0.923693752029901,"C2N2"
"000110",25,0.76718562893251,"C2N2"
"000010",135,0.121326016225499,"C2N2"
"100100",1,0.977862065478413,"C3N3"
"100001",6,0.912446855795796,"C3N3"
"100000",123,0.154455960139764,"C3N3"
