"labelset","mean_distance","n_instances"
"001110",0.288838062005848,22
"000001",0.302196382250177,24
"100001",0.33303818364002,27
"011000",0.3952176474171,25
"100000",0.445495427095988,8
"001000",0.491997134411758,14
"000110",0.63096047060589,12
"001010",0.692983474908638,9
"001100",0.711476096231392,10
"110001",0.719261219506856,2
"010000",0.720097815257499,7
"001001",0.793863241673286,1
"110000",0.831718462962824,13
"000011",0.848666853881111,4
"010001",0.970472106091696,2
"000010",1.03510588350868,4
"111000",1.04207207218163,4
"000100",1.05359850483143,2
"101000",1.13885155917629,1
"011100",1.14237224302201,2
"100011",1.22063866888843,1
"100010",1.3330959123444,2
"001011",1.34033371330422,1
"001101",1.52304918135771,1
