"labelset","mean_distance","n_instances"
"100001",0.152855676320729,27
"001110",0.155293012257508,22
"011000",0.217846889213925,25
"000010",0.256114436999389,4
"001010",0.407084425962267,9
"000001",0.419284887670674,24
"000110",0.545445597833185,12
"010000",0.560717887901273,7
"001100",0.656035383222156,10
"111000",0.73644786731105,4
"000011",0.765141287956351,4
"001000",0.766312082551522,14
"001011",0.916111276919229,1
"100000",0.928779314362239,8
"100010",1.01183940845654,2
"110001",1.02036409195482,2
"000100",1.04618796879783,2
"110000",1.0793188659984,13
"100011",1.08146644270401,1
"011100",1.15507482080099,2
"101000",1.28491306064865,1
"010001",1.28679330330476,2
"001001",1.39840559818254,1
"001101",1.65603538322216,1
