"labelset","mean_distance","n_instances"
"001110",0.293147614157362,22
"100001",0.312567745689224,27
"000001",0.316920561603673,24
"001000",0.350488978310493,14
"011000",0.395688249425692,25
"100000",0.533571607843919,8
"001100",0.625677112658308,10
"110000",0.647887534108713,13
"001010",0.667678548261735,8
"010000",0.714493551213829,8
"000110",0.754791354593995,12
"110001",1.01221235974408,2
"010001",1.01656517565853,2
"111000",1.02418465729824,4
"000100",1.08732085309494,1
"001001",1.11176492229896,1
"000010",1.12932228869837,4
"011100",1.13215642258917,2
"100011",1.16338996112679,2
"000011",1.16774277704124,4
"100010",1.18216592531201,2
"010100",1.46274867814804,1
"001011",1.63484390554237,1
"000111",1.72195671187463,1
