"labelset","n","mean_distance","cluster_neuron"
"001110",1,1.61269874866855,"C1N1"
"001100",7,0.800956207479352,"C1N1"
"000100",109,0.586265505759895,"C1N1"
"001000",120,0.521437959451311,"C1N1"
"000101",2,0.989840432174785,"C1N2"
"100001",7,0.893201926001472,"C1N2"
"000001",135,0.13334231259012,"C1N2"
"100000",123,0.609112593265421,"C1N4"
"010000",121,0.46288656834987,"C1N4"
"001010",4,0.982805052848745,"C2N3"
"100010",13,0.834734834927014,"C2N3"
"000110",25,0.771075271504005,"C2N3"
"000010",135,0.12162847490359,"C2N3"
