"labelset","n","mean_distance","cluster_neuron"
"001100",8,1.04840370226293,"C1N1"
"001000",120,0.719025126592108,"C1N1"
"100000",123,0.717155551198979,"C1N1"
"000100",109,0.60633861412176,"C1N1"
"100001",6,0.991918990061867,"C1N4"
"000101",2,0.973843357040998,"C1N4"
"000011",1,0.962424128323709,"C1N4"
"000001",135,0.173977351333536,"C1N4"
"001010",5,0.938523704979056,"C2N2"
"100010",12,0.9328492756772,"C2N2"
"000110",25,0.742893525881512,"C2N2"
"000010",135,0.133510053487253,"C2N2"
"010000",122,0.167119982174574,"C3N3"
