"labelset","mean_distance","n_instances"
"000110",0.110115487284449,13
"100001",0.203666635502817,27
"011000",0.281698741199703,24
"000001",0.371739258127954,24
"001110",0.383434808128406,23
"010000",0.442630263231804,8
"000010",0.500695324731924,4
"001100",0.50659685568196,10
"001010",0.509423779554397,8
"001000",0.632585827107951,14
"111000",0.639481091694788,3
"110000",0.800412613726889,12
"100000",0.928509278383047,8
"000100",0.956814081762179,2
"100011",1.02352475322631,1
"110001",1.08541492096518,3
"011100",1.18013327096583,2
"000011",1.19159737585145,4
"010001",1.25348754359032,1
"100010",1.29681953877068,2
"001001",1.35131271003236,1
"010010",1.4426302632318,1
"001011",1.47781429372892,1
"101000",1.63258582710795,1
