"","landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange",".labelcount",".SCUMBLE"
"sd",1.61584331307312,1.33767160023584,1445.42804529757,93.1234574035911,2.92518136984899,1.90597794792713,0.999272991543305,2.47208249467228,1.29347834937817,0.486120339521115,0.369632123843077,0.291597444720357,0.355773259820213,5.18967977459021,0.227420230499202,0.355773259820213,0.433571788893179,0.402722084717712,0.280373850642372,0.413847048853754,0.500726216795213,0.501813571423807,0.50193424319937,0.438018795391567,0.446373197008682,0.330901985535004,1.18268352067555,0.0706096016410666
"mean",3.48062015503876,2.4031007751938,541.015503875969,22.922480620155,3.88372093023256,2.9922480620155,0.441860465116279,1.51162790697674,3.47286821705426,0.170542635658915,0.13953488372093,0.0930232558139535,0.147286821705426,1.58139534883721,1.05426356589147,1.14728682170543,1.24806201550388,1.2015503875969,1.08527131782946,0.782945736434108,0.465116279069767,0.511627906976744,0.503875968992248,0.744186046511628,0.271317829457364,0.124031007751938,3.4031007751938,0.0587374919680212
"median",4,2,98,3,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,3,0.0244779123099955
"sum",449,310,69791,2957,501,386,57,195,448,22,18,12,19,204,136,148,161,155,140,101,60,66,65,96,35,16,439,7.57713646387474
"max",6,4,9561,1008,10,8,3,14,8,4,2,1,1,50,2,2,2,2,2,1,1,1,1,1,1,1,7,0.300145787776235
"min",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.0000291362557059971
"10%",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.0124761881319377
"25%",2,1,4,0,1,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,3,0.0184976179329306
"50%",4,2,98,3,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,3,0.0244779123099955
"75%",5,4,450,14,7,4,0,3,4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,4,0.0744753036857879
"90%",6,4,1052.6,50,9,6,3,4.2,5,1,1,0,1,4.2,1,2,2,2,1,1,1,1,1,1,1,1,5,0.201830328753303
