"landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange"
5,1,648,16,2,3,0,3,5,0,0,0,0,1,1,1,2,1,1,1,1,0,1,1,1,0
4,2,1247,7,2,6,0,2,3,0,0,0,0,1,1,1,2,1,1,1,0,0,1,0,1,0
1,4,0,0,1,2,0,1,3,0,0,0,0,0,1,1,1,2,1,0,0,1,0,1,0,1
2,3,2777,28,3,1,0,3,2,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0
6,2,7690,15,1,2,0,0,3,0,1,1,1,6,1,1,1,1,1,1,0,1,0,1,0,0
5,1,143,90,7,3,0,0,2,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
1,4,0,0,1,2,3,0,3,0,0,0,0,0,1,1,2,1,1,0,0,1,1,0,1,0
4,2,600,1,2,6,0,5,3,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0
1,4,0,0,1,2,0,0,6,0,1,1,1,0,1,1,2,2,2,1,1,1,1,1,0,1
5,1,678,35,2,4,0,0,3,0,0,0,1,14,1,1,2,2,1,1,0,1,0,1,0,0
4,1,474,8,4,2,3,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
1,4,9976,24,1,2,2,0,2,0,0,0,0,0,1,1,1,2,1,1,0,0,0,1,0,0
1,4,0,0,1,2,0,0,6,1,1,1,1,4,1,1,2,2,2,1,1,1,1,1,0,1
2,3,757,11,3,1,0,2,3,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0
5,1,9561,1008,8,7,0,0,2,0,0,0,0,5,1,1,1,1,1,1,0,0,1,0,0,0
4,2,2,0,4,3,0,0,2,0,0,0,0,4,2,1,1,1,1,0,1,0,0,1,0,0
1,4,51,2,3,1,0,5,3,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0
3,1,9,1,7,2,0,0,3,0,0,0,0,0,1,1,2,2,1,0,1,0,1,1,0,0
3,1,128,15,6,7,0,0,3,0,0,0,0,0,1,2,1,1,1,1,0,1,0,1,0,0
4,1,1001,47,9,3,0,3,4,0,0,0,0,0,1,1,1,2,2,1,0,0,1,1,1,0
