"","Mean_Acc1298_Mean_Mem40_Centroid","Mean_Acc1298_Mean_Mem40_Rolloff","Mean_Acc1298_Mean_Mem40_Flux","Mean_Acc1298_Mean_Mem40_MFCC_0","Mean_Acc1298_Mean_Mem40_MFCC_1","Mean_Acc1298_Mean_Mem40_MFCC_2","Mean_Acc1298_Mean_Mem40_MFCC_3","Mean_Acc1298_Mean_Mem40_MFCC_4","Mean_Acc1298_Mean_Mem40_MFCC_5","Mean_Acc1298_Mean_Mem40_MFCC_6","Mean_Acc1298_Mean_Mem40_MFCC_7","Mean_Acc1298_Mean_Mem40_MFCC_8","Mean_Acc1298_Mean_Mem40_MFCC_9","Mean_Acc1298_Mean_Mem40_MFCC_10","Mean_Acc1298_Mean_Mem40_MFCC_11","Mean_Acc1298_Mean_Mem40_MFCC_12","Mean_Acc1298_Std_Mem40_Centroid","Mean_Acc1298_Std_Mem40_Rolloff","Mean_Acc1298_Std_Mem40_Flux","Mean_Acc1298_Std_Mem40_MFCC_0","Mean_Acc1298_Std_Mem40_MFCC_1","Mean_Acc1298_Std_Mem40_MFCC_2","Mean_Acc1298_Std_Mem40_MFCC_3","Mean_Acc1298_Std_Mem40_MFCC_4","Mean_Acc1298_Std_Mem40_MFCC_5","Mean_Acc1298_Std_Mem40_MFCC_6","Mean_Acc1298_Std_Mem40_MFCC_7","Mean_Acc1298_Std_Mem40_MFCC_8","Mean_Acc1298_Std_Mem40_MFCC_9","Mean_Acc1298_Std_Mem40_MFCC_10","Mean_Acc1298_Std_Mem40_MFCC_11","Mean_Acc1298_Std_Mem40_MFCC_12","Std_Acc1298_Mean_Mem40_Centroid","Std_Acc1298_Mean_Mem40_Rolloff","Std_Acc1298_Mean_Mem40_Flux","Std_Acc1298_Mean_Mem40_MFCC_0","Std_Acc1298_Mean_Mem40_MFCC_1","Std_Acc1298_Mean_Mem40_MFCC_2","Std_Acc1298_Mean_Mem40_MFCC_3","Std_Acc1298_Mean_Mem40_MFCC_4","Std_Acc1298_Mean_Mem40_MFCC_5","Std_Acc1298_Mean_Mem40_MFCC_6","Std_Acc1298_Mean_Mem40_MFCC_7","Std_Acc1298_Mean_Mem40_MFCC_8","Std_Acc1298_Mean_Mem40_MFCC_9","Std_Acc1298_Mean_Mem40_MFCC_10","Std_Acc1298_Mean_Mem40_MFCC_11","Std_Acc1298_Mean_Mem40_MFCC_12","Std_Acc1298_Std_Mem40_Centroid","Std_Acc1298_Std_Mem40_Rolloff","Std_Acc1298_Std_Mem40_Flux","Std_Acc1298_Std_Mem40_MFCC_0","Std_Acc1298_Std_Mem40_MFCC_1","Std_Acc1298_Std_Mem40_MFCC_2","Std_Acc1298_Std_Mem40_MFCC_3","Std_Acc1298_Std_Mem40_MFCC_4","Std_Acc1298_Std_Mem40_MFCC_5","Std_Acc1298_Std_Mem40_MFCC_6","Std_Acc1298_Std_Mem40_MFCC_7","Std_Acc1298_Std_Mem40_MFCC_8","Std_Acc1298_Std_Mem40_MFCC_9","Std_Acc1298_Std_Mem40_MFCC_10","Std_Acc1298_Std_Mem40_MFCC_11","Std_Acc1298_Std_Mem40_MFCC_12","BH_LowPeakAmp","BH_LowPeakBPM","BH_HighPeakAmp","BH_HighPeakBPM","BH_HighLowRatio","BHSUM1","BHSUM2","BHSUM3","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive",".labelcount",".SCUMBLE"
"sd",0.0324503893061005,0.121428312181271,0.00996628993920298,7.74885175401028,2.11693869477923,0.99937033420016,0.590747462926957,0.457957488007901,0.378349310879662,0.304191187251262,0.31354153468301,0.29999184833821,0.251661644299201,0.223718557747385,0.22302826414789,0.20129474902589,0.0304154560811359,0.109705547846228,0.00938115317803961,1.60702110673238,0.409752958983177,0.262986972621975,0.20660165125611,0.155733036665391,0.109015604654765,0.0930176504996255,0.0918438847660507,0.0891611017594942,0.0879655959318155,0.0792958218202602,0.0783756001656506,0.0833354025297985,0.0104040192114951,0.0275068301105497,0.00164348944218648,1.84509786546608,0.392663782987945,0.270481977010368,0.208970168861575,0.161523903694663,0.142046887747141,0.14251115567473,0.154178870827827,0.176764734163446,0.163660411301107,0.173337023322284,0.169840684231242,0.178601954783844,0.00753124560622793,0.0222411309309545,0.00161150315010997,0.520860773777746,0.138069183657259,0.0865385481716762,0.0808911342950986,0.0614277091904181,0.0426875310658056,0.0378164891380753,0.0384779014483294,0.0484562482033425,0.0517200768327686,0.0542443970310922,0.0571409637363791,0.0626918937938694,0.300940527492874,14.7443863423588,0.373462848709437,29.5581346812839,0.310144612483968,0.33121958764497,0.369290841430993,0.659832181325056,0.454863697277486,0.450063714994998,0.497077496368915,0.433927120164894,0.452498472167034,0.466675233916519,0.674319416961078,0.0130374901480761
"mean",0.0704595341772152,0.196740248101266,0.0857901949367089,-73.0139632379747,4.99998306329114,0.615483559493671,1.67383748860759,0.633148281012658,0.835340853164557,0.503122597468354,0.549353784810127,0.472769141772152,0.511676569620253,0.476780339240506,0.438081918987342,0.434194230379747,0.0460347417721519,0.155924997468354,0.0358835797468354,4.55979907088608,1.29394634177215,0.940802959493671,0.776368270886076,0.654007364556962,0.580978392405063,0.553049721518987,0.538053891139241,0.523484640506329,0.516309293670886,0.496966782278481,0.487912129113924,0.475144802531646,0.0240831037974684,0.0614868860759494,0.00820244050632911,3.68469674683544,0.86296975443038,0.632683164556962,0.502311053164557,0.390654232911392,0.336467741772152,0.313995205063291,0.309434288607595,0.313130065822785,0.306710443037975,0.293394478481013,0.287407632911392,0.280489726582278,0.0288517164556962,0.0651601367088608,0.0295052151898734,4.13834678481013,0.407792582278481,0.242199116455696,0.200797549367089,0.152994493670886,0.124576253164557,0.115580448101266,0.115233387341772,0.115992584810127,0.117288556962025,0.113743764556962,0.112911939240506,0.109842101265823,0.228184237974684,74.3949367088608,0.246778916455696,154.437974683544,2.08860759493671,0.400595721518987,0.369122364556962,0.95105015443038,0.291139240506329,0.281012658227848,0.440506329113924,0.250632911392405,0.286075949367089,0.318987341772152,1.86835443037975,0.0102414073380835
"median",0.065494,0.170186,0.083775,-72.362854,4.512896,0.615074,1.706145,0.625787,0.807693,0.539595,0.520543,0.463832,0.497063,0.489065,0.436413,0.425881,0.037587,0.122017,0.033867,4.390548,1.243649,0.926772,0.728343,0.625466,0.55774,0.547491,0.523573,0.515967,0.502584,0.487824,0.480449,0.463535,0.021612,0.053649,0.007909,3.269353,0.769323,0.584688,0.484131,0.367647,0.316033,0.289049,0.286299,0.281831,0.273643,0.25163,0.245605,0.235022,0.02707,0.061987,0.029848,4.065246,0.395596,0.236297,0.187303,0.14137,0.119623,0.112499,0.109851,0.105881,0.106779,0.103186,0.097982,0.089629,0.105191,70,0.067634,148,2,0.296155,0.249179,0.783142,0,0,0,0,0,0,2,0.00104219181383158
"sum",27.831516,77.712398,33.887127,-28840.515479,1974.99331,243.116006,661.165808,250.093571,329.959637,198.733426,216.994745,186.743811,202.112245,188.328234,173.042358,171.506721,18.183723,61.590374,14.174014,1801.120633,511.108805,371.617169,306.665467,258.332909,229.486465,218.45464,212.531287,206.776433,203.942171,196.301879,192.725291,187.682197,9.512826,24.28732,3.239964,1455.455215,340.873053,249.90985,198.412866,154.308422,132.904758,124.028106,122.226544,123.686376,121.150625,115.890819,113.526015,110.793442,11.396428,25.738254,11.65456,1634.64698,161.07807,95.668651,79.315032,60.432825,49.20762,45.654277,45.517188,45.817071,46.32898,44.928787,44.600216,43.38763,90.132774,29386,97.477672,61003,825,158.23531,145.803334,375.664811,115,111,174,99,113,126,738,4.04535589854298
"max",0.195412,0.698277,0.15946,-56.297652,12.069754,3.910873,3.468003,2.046689,2.358098,1.484489,1.72242,1.846221,1.064865,1.290063,1.876704,1.246864,0.168399,0.471795,0.11619,15.262381,3.664476,2.04521,1.390237,1.321038,1.016693,0.825064,0.870778,1.098111,0.842697,0.852488,0.772496,1.001184,0.117437,0.189653,0.02273,13.447154,2.925425,2.202609,1.472541,1.025277,1.038158,1.155625,1.334833,1.729741,1.169477,1.28184,1.181478,1.809666,0.062547,0.159344,0.032048,6.536928,0.958856,0.618704,0.543927,0.415798,0.271085,0.241432,0.245309,0.411033,0.296556,0.355242,0.471506,0.415202,1.598533,115,1.702666,230,3,1.67105,1.738105,3.422899,1,1,1,1,1,1,3,0.0384772371768195
"min",0.010201,0.038286,0.070932,-99.090802,0.051474,-2.277307,-0.604609,-1.038761,-0.237114,-0.363235,-0.895966,-0.451919,-0.29477,-0.258025,-0.275685,-0.129515,0.008608,0.021685,0.025297,1.682058,0.54449,0.426085,0.436355,0.343973,0.398196,0.335192,0.322271,0.329729,0.310128,0.325899,0.302748,0.298141,0.010684,0.018333,0.005711,1.148407,0.181559,0.125179,0.079273,0.055489,0.040192,0.048815,0.068473,0.065086,0.057608,0.048231,0.041973,0.040482,0.008712,0.017141,0.00909,1.90852,0.105014,0.048375,0.05266,0.043679,0.048508,0.040493,0.040339,0.032399,0.040276,0.038015,0.032472,0.035587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10%",0.0342494,0.0689022,0.0764058,-83.2230842,2.6642986,-0.6870266,0.9108084,0.1120226,0.381056,0.0937606000000001,0.1957136,0.1134008,0.1780554,0.2031828,0.191234,0.185296,0.0167432,0.042821,0.0283364,2.6812922,0.8111408,0.6253958,0.5354042,0.4845744,0.4572086,0.4444144,0.432651,0.4244844,0.4202918,0.4083204,0.4006672,0.3882108,0.0151172,0.0360674,0.006853,1.853591,0.4611212,0.3450746,0.268462,0.2113196,0.1826564,0.1665428,0.1606126,0.1502154,0.1427986,0.1379536,0.1276068,0.1234616,0.0227904,0.0429534,0.0284398,3.5925038,0.2449234,0.1375188,0.110123,0.0836076,0.0744272,0.0693562,0.0713924,0.0655062,0.0649722,0.0600048,0.0595986,0.0560696,0.0237374,58.4,0,122,2,0.0876278,0.031943,0.3064394,0,0,0,0,0,0,1,0
"25%",0.0447735,0.1032065,0.078754,-77.060341,3.4026115,-0.0901865,1.289616,0.3783365,0.609014,0.2968325,0.3702275,0.2857215,0.3603265,0.3599005,0.306759,0.3074845,0.0230785,0.0622875,0.0299735,3.4790495,1.0033485,0.733984,0.6015775,0.5387785,0.4969875,0.4849975,0.4715075,0.4561475,0.4568085,0.437234,0.430549,0.41808,0.017602,0.0427705,0.0073545,2.4123775,0.6108385,0.4410775,0.366192,0.275345,0.242608,0.223728,0.211356,0.2017585,0.195324,0.1841265,0.182391,0.1758355,0.024713,0.0517275,0.0290725,3.742205,0.304558,0.1782625,0.139732,0.1060215,0.0919315,0.0874135,0.0887,0.0826975,0.082534,0.077847,0.0757885,0.070537,0.041188,64,0.0071625,132,2,0.1729005,0.1042395,0.5066365,0,0,0,0,0,0,1,0
"50%",0.065494,0.170186,0.083775,-72.362854,4.512896,0.615074,1.706145,0.625787,0.807693,0.539595,0.520543,0.463832,0.497063,0.489065,0.436413,0.425881,0.037587,0.122017,0.033867,4.390548,1.243649,0.926772,0.728343,0.625466,0.55774,0.547491,0.523573,0.515967,0.502584,0.487824,0.480449,0.463535,0.021612,0.053649,0.007909,3.269353,0.769323,0.584688,0.484131,0.367647,0.316033,0.289049,0.286299,0.281831,0.273643,0.25163,0.245605,0.235022,0.02707,0.061987,0.029848,4.065246,0.395596,0.236297,0.187303,0.14137,0.119623,0.112499,0.109851,0.105881,0.106779,0.103186,0.097982,0.089629,0.105191,70,0.067634,148,2,0.296155,0.249179,0.783142,0,0,0,0,0,0,2,0.00104219181383158
"75%",0.0886025,0.2620925,0.091276,-68.24032,6.591657,1.2767245,2.0666565,0.9349575,1.0530515,0.69923,0.7248905,0.654698,0.6908015,0.606683,0.5723895,0.559352,0.061455,0.2378695,0.0391395,5.467077,1.529481,1.1104705,0.9384895,0.7595855,0.642664,0.61111,0.595638,0.576128,0.5624475,0.545507,0.5284075,0.511051,0.0272325,0.0720685,0.0086415,4.4670175,1.050994,0.777556,0.592697,0.4848035,0.4161145,0.3792975,0.370066,0.378114,0.372818,0.3470335,0.348487,0.33478,0.031176,0.0738475,0.0302715,4.437222,0.492261,0.2964745,0.251947,0.187669,0.147968,0.139318,0.137033,0.1381675,0.136701,0.1333465,0.130268,0.129077,0.2668705,86,0.327439,180,2,0.5055595,0.50467,1.2111835,1,1,1,0.5,1,1,2,0.0247381202610131
