"","Mean_Acc1298_Mean_Mem40_Centroid","Mean_Acc1298_Mean_Mem40_Rolloff","Mean_Acc1298_Mean_Mem40_Flux","Mean_Acc1298_Mean_Mem40_MFCC_0","Mean_Acc1298_Mean_Mem40_MFCC_1","Mean_Acc1298_Mean_Mem40_MFCC_2","Mean_Acc1298_Mean_Mem40_MFCC_3","Mean_Acc1298_Mean_Mem40_MFCC_4","Mean_Acc1298_Mean_Mem40_MFCC_5","Mean_Acc1298_Mean_Mem40_MFCC_6","Mean_Acc1298_Mean_Mem40_MFCC_7","Mean_Acc1298_Mean_Mem40_MFCC_8","Mean_Acc1298_Mean_Mem40_MFCC_9","Mean_Acc1298_Mean_Mem40_MFCC_10","Mean_Acc1298_Mean_Mem40_MFCC_11","Mean_Acc1298_Mean_Mem40_MFCC_12","Mean_Acc1298_Std_Mem40_Centroid","Mean_Acc1298_Std_Mem40_Rolloff","Mean_Acc1298_Std_Mem40_Flux","Mean_Acc1298_Std_Mem40_MFCC_0","Mean_Acc1298_Std_Mem40_MFCC_1","Mean_Acc1298_Std_Mem40_MFCC_2","Mean_Acc1298_Std_Mem40_MFCC_3","Mean_Acc1298_Std_Mem40_MFCC_4","Mean_Acc1298_Std_Mem40_MFCC_5","Mean_Acc1298_Std_Mem40_MFCC_6","Mean_Acc1298_Std_Mem40_MFCC_7","Mean_Acc1298_Std_Mem40_MFCC_8","Mean_Acc1298_Std_Mem40_MFCC_9","Mean_Acc1298_Std_Mem40_MFCC_10","Mean_Acc1298_Std_Mem40_MFCC_11","Mean_Acc1298_Std_Mem40_MFCC_12","Std_Acc1298_Mean_Mem40_Centroid","Std_Acc1298_Mean_Mem40_Rolloff","Std_Acc1298_Mean_Mem40_Flux","Std_Acc1298_Mean_Mem40_MFCC_0","Std_Acc1298_Mean_Mem40_MFCC_1","Std_Acc1298_Mean_Mem40_MFCC_2","Std_Acc1298_Mean_Mem40_MFCC_3","Std_Acc1298_Mean_Mem40_MFCC_4","Std_Acc1298_Mean_Mem40_MFCC_5","Std_Acc1298_Mean_Mem40_MFCC_6","Std_Acc1298_Mean_Mem40_MFCC_7","Std_Acc1298_Mean_Mem40_MFCC_8","Std_Acc1298_Mean_Mem40_MFCC_9","Std_Acc1298_Mean_Mem40_MFCC_10","Std_Acc1298_Mean_Mem40_MFCC_11","Std_Acc1298_Mean_Mem40_MFCC_12","Std_Acc1298_Std_Mem40_Centroid","Std_Acc1298_Std_Mem40_Rolloff","Std_Acc1298_Std_Mem40_Flux","Std_Acc1298_Std_Mem40_MFCC_0","Std_Acc1298_Std_Mem40_MFCC_1","Std_Acc1298_Std_Mem40_MFCC_2","Std_Acc1298_Std_Mem40_MFCC_3","Std_Acc1298_Std_Mem40_MFCC_4","Std_Acc1298_Std_Mem40_MFCC_5","Std_Acc1298_Std_Mem40_MFCC_6","Std_Acc1298_Std_Mem40_MFCC_7","Std_Acc1298_Std_Mem40_MFCC_8","Std_Acc1298_Std_Mem40_MFCC_9","Std_Acc1298_Std_Mem40_MFCC_10","Std_Acc1298_Std_Mem40_MFCC_11","Std_Acc1298_Std_Mem40_MFCC_12","BH_LowPeakAmp","BH_LowPeakBPM","BH_HighPeakAmp","BH_HighPeakBPM","BH_HighLowRatio","BHSUM1","BHSUM2","BHSUM3","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive",".labelcount",".SCUMBLE"
"sd",0.0325274056154886,0.122989553110034,0.00921973362338221,7.63632718490944,2.11085375753567,1.02858560795902,0.596576732259735,0.451151550578103,0.374610341034596,0.313668842602642,0.319990379954718,0.28074505633056,0.256433267759024,0.215479189490047,0.208286803056553,0.190103263962051,0.0315193369166532,0.112357732627584,0.00831312417206016,1.58847499912946,0.416250723280888,0.27635435781419,0.214709781157697,0.15475910070222,0.10519348357302,0.0909492892791429,0.0880713936813784,0.081510227263536,0.0815375345677311,0.0740226566924565,0.0749362977024064,0.0764219075530407,0.0109832472601505,0.029890192077378,0.00141328501455469,1.86541188105455,0.373550330601796,0.267046930062741,0.205471845787978,0.154633755085968,0.135482621679567,0.137176307672586,0.142138949091333,0.153268068199958,0.159470038145954,0.165941810724128,0.152759116415704,0.170314749784729,0.00732387821956293,0.022268031533136,0.000997092676979404,0.520614710639975,0.137580854417477,0.0858834265906531,0.0812091489493993,0.0625472585464716,0.0419132837032916,0.0374861551076283,0.039188646017254,0.0444580145024084,0.0500595799989791,0.0519129722274801,0.0539967137573181,0.0604877395791528,0.319551566158665,14.0990674170468,0.397110679970329,28.5673533989444,0.309342004039975,0.352807223791668,0.392690403487448,0.686429947432143,0.455545760680241,0.44952127576931,0.497905463881735,0.434662280063412,0.451983793213338,0.467306255376565,0.674115831694528,0.0139833533929201
"mean",0.0700533867684478,0.198106618320611,0.0858806284987277,-73.3792536666667,4.99799839949109,0.65079941475827,1.70056117048346,0.642150198473282,0.836553768447837,0.508160888040712,0.534713788804071,0.471542936386768,0.507115984732824,0.47002527735369,0.428038837150127,0.439157979643766,0.0467113155216285,0.159827330788804,0.0358625750636132,4.61068791603053,1.30372268956743,0.944994180661578,0.78037317302799,0.65330265648855,0.578572086513995,0.553842389312977,0.536765109414758,0.519898124681934,0.511147312977099,0.494392633587786,0.4856421043257,0.469683353689567,0.0241148575063613,0.0621754605597964,0.00805480916030534,3.68581569211196,0.863801977099237,0.628900493638677,0.496933366412214,0.387725557251908,0.329559048346056,0.314654297709924,0.306941111959288,0.304945407124682,0.304072216284987,0.292734221374046,0.280296979643766,0.273870625954198,0.0289684351145038,0.0654042697201018,0.0295571501272265,4.14474105343511,0.404705139949109,0.23767458778626,0.197369320610687,0.15084617302799,0.122699091603053,0.114823681933842,0.113837290076336,0.113455300254453,0.115701399491094,0.110708198473282,0.10934044783715,0.106576330788804,0.251263117048346,73.7201017811705,0.273697562340967,153.895674300254,2.10687022900763,0.439269557251908,0.385435816793893,0.994616508905852,0.292620865139949,0.279898218829517,0.447837150127226,0.251908396946565,0.28498727735369,0.320610687022901,1.87786259541985,0.0110535963718822
"median",0.065648,0.169013,0.083963,-73.150654,4.70417,0.663985,1.733528,0.641059,0.811956,0.539595,0.511617,0.472159,0.497063,0.485674,0.431671,0.445127,0.037262,0.124327,0.034004,4.497791,1.269576,0.942239,0.752505,0.628535,0.556064,0.546426,0.522318,0.515552,0.503291,0.489446,0.481038,0.46222,0.021495,0.053627,0.007776,3.25329,0.781809,0.582221,0.473146,0.370745,0.310762,0.298254,0.290529,0.28148,0.272241,0.253938,0.244886,0.23402,0.027307,0.061662,0.029762,4.069921,0.385927,0.233287,0.183158,0.140564,0.1198,0.112499,0.107322,0.107078,0.106779,0.101798,0.097475,0.089506,0.115284,68,0.077884,148,2,0.343781,0.257345,0.819872,0,0,0,0,0,0,2,0.00104219181383169
"sum",27.530981,77.855901,33.751087,-28838.046691,1964.213371,255.76417,668.32054,252.365028,328.765631,199.707229,210.142519,185.316374,199.296582,184.719934,168.219263,172.589086,18.357547,62.812141,14.093992,1812.000351,512.363017,371.382713,306.686657,256.747944,227.37883,217.660059,210.948688,204.319963,200.880894,194.296305,190.857347,184.585558,9.477139,24.434956,3.16554,1448.525567,339.474177,247.157894,195.294813,152.376144,129.516706,123.659139,120.627857,119.843545,119.500381,115.044549,110.156713,107.631156,11.384595,25.703878,11.61596,1628.883234,159.04912,93.406113,77.566143,59.282546,48.220743,45.125707,44.738055,44.587933,45.47065,43.508322,42.970796,41.884498,98.746405,28972,107.563142,60481,828,172.632936,151.476276,390.884288,115,110,176,99,112,126,738,4.3440633741497
"max",0.195412,0.698277,0.15946,-56.297652,11.853471,3.910873,3.468003,2.25271,2.358098,1.484489,1.72242,1.846221,1.064865,1.091516,1.088186,1.093162,0.168399,0.471795,0.11619,15.262381,3.664476,2.04521,1.491016,1.321038,1.013231,0.805382,0.827517,1.098111,0.842697,0.852488,0.772496,0.835385,0.117437,0.211029,0.021227,13.447154,2.925425,2.202609,1.281424,1.003937,1.038158,0.836015,1.102845,1.047484,0.997081,1.112546,1.16005,1.809666,0.063173,0.158788,0.031105,6.536928,1.046212,0.618704,0.543927,0.415798,0.271085,0.22262,0.304417,0.329188,0.296556,0.355242,0.471506,0.415202,1.598533,115,1.762948,230,3,1.795128,1.797765,3.331277,1,1,1,1,1,1,3,0.04
"min",0.015045,0.038286,0.070932,-97.510495,0.051474,-2.277307,-0.604609,-1.143864,-0.237114,-0.444623,-0.895966,-0.451919,-0.29477,-0.186371,-0.394065,-0.0792,0.008701,0.017434,0.026316,1.682058,0.54449,0.426085,0.436355,0.375337,0.385542,0.347897,0.33871,0.340844,0.344607,0.325899,0.300775,0.314619,0.01095,0.020695,0.005696,1.227223,0.235354,0.107836,0.114057,0.057821,0.054569,0.05288,0.071556,0.055301,0.059252,0.048837,0.042072,0.033739,0.008712,0.015678,0.021999,3.140648,0.108396,0.053278,0.05266,0.03448,0.039299,0.02421,0.036153,0.032399,0.035843,0.038015,0.034682,0.031945,0.003147,52,0,104,2,0,0,0.085826,0,0,0,0,0,0,1,0
"10%",0.0334858,0.0665424,0.0764772,-83.1214266,2.459335,-0.6981284,0.9769076,0.1246898,0.378036,0.0823214,0.1806118,0.124061,0.1847714,0.1905622,0.1836796,0.194237,0.0170764,0.0437004,0.0283688,2.68082,0.8082386,0.608176,0.5321306,0.4866356,0.4602508,0.4447646,0.4312298,0.419775,0.4151904,0.4081332,0.4005256,0.3833698,0.0151074,0.0355266,0.0068294,1.8225246,0.4557444,0.3388674,0.2549138,0.2097116,0.1805278,0.167363,0.1613076,0.1550398,0.140936,0.1407636,0.1363988,0.1199522,0.0230116,0.0427818,0.0284322,3.5313932,0.239277,0.136408,0.1058828,0.0796014,0.0726374,0.0664346,0.0700232,0.063954,0.0632754,0.0580964,0.0592134,0.0544856,0.0248474,57.2,0,122,2,0.0897614,0.0334162,0.283819,0,0,0,0,0,0,1,0
"25%",0.044887,0.106682,0.078939,-77.361789,3.422265,-0.070745,1.307823,0.3704,0.606471,0.299828,0.352697,0.307957,0.344916,0.350366,0.296698,0.311095,0.022932,0.063408,0.030031,3.487958,1.004541,0.714083,0.595706,0.532889,0.496997,0.486141,0.475634,0.456431,0.45369,0.439503,0.431582,0.418568,0.017591,0.042482,0.007278,2.372752,0.616288,0.437257,0.358465,0.280676,0.241628,0.2211,0.207068,0.203362,0.197784,0.189506,0.183747,0.174085,0.024919,0.05154,0.029016,3.730326,0.304576,0.171036,0.133305,0.102807,0.090465,0.087099,0.087289,0.082425,0.082479,0.078592,0.073932,0.071154,0.048782,64,0.008857,132,2,0.189874,0.102511,0.519843,0,0,0,0,0,0,1,0
"50%",0.065648,0.169013,0.083963,-73.150654,4.70417,0.663985,1.733528,0.641059,0.811956,0.539595,0.511617,0.472159,0.497063,0.485674,0.431671,0.445127,0.037262,0.124327,0.034004,4.497791,1.269576,0.942239,0.752505,0.628535,0.556064,0.546426,0.522318,0.515552,0.503291,0.489446,0.481038,0.46222,0.021495,0.053627,0.007776,3.25329,0.781809,0.582221,0.473146,0.370745,0.310762,0.298254,0.290529,0.28148,0.272241,0.253938,0.244886,0.23402,0.027307,0.061662,0.029762,4.069921,0.385927,0.233287,0.183158,0.140564,0.1198,0.112499,0.107322,0.107078,0.106779,0.101798,0.097475,0.089506,0.115284,68,0.077884,148,2,0.343781,0.257345,0.819872,0,0,0,0,0,0,2,0.00104219181383169
"75%",0.08629,0.263647,0.091453,-68.698041,6.54465,1.353814,2.072365,0.941439,1.048281,0.710612,0.718551,0.644329,0.68535,0.601137,0.559133,0.551936,0.062791,0.255451,0.039359,5.498476,1.529543,1.124739,0.94118,0.74799,0.641202,0.613977,0.595549,0.571528,0.554233,0.539036,0.523427,0.504151,0.026791,0.072682,0.00854,4.479816,1.083894,0.773798,0.599979,0.480554,0.396793,0.384212,0.370389,0.375442,0.372369,0.341904,0.338795,0.329153,0.031115,0.077536,0.030275,4.444949,0.489405,0.293496,0.24984,0.187676,0.14833,0.138597,0.137304,0.133459,0.136421,0.127827,0.125772,0.120334,0.3187,84,0.378438,177,2,0.564109,0.53559,1.272256,1,1,1,1,1,1,2,0.0269914891789602
