@relation flags-Split-Ts-3-weka.filters.unsupervised.attribute.NumericToNominal-R20-26

@attribute landmass numeric
@attribute zone numeric
@attribute area numeric
@attribute population numeric
@attribute language numeric
@attribute religion numeric
@attribute bars numeric
@attribute stripes numeric
@attribute colours numeric
@attribute circles numeric
@attribute crosses numeric
@attribute saltires numeric
@attribute quarters numeric
@attribute sunstars numeric
@attribute crescent numeric
@attribute triangle numeric
@attribute icon numeric
@attribute animate numeric
@attribute text numeric
@attribute red {0,1}
@attribute green {0,1}
@attribute blue {0,1}
@attribute yellow {0,1}
@attribute white {0,1}
@attribute black {0,1}
@attribute orange {0,1}

@data
4,4,1031,2,9,3,0,0,2,0,0,0,0,1,2,1,1,1,1,0,1,0,1,0,0,0
3,1,450,8,7,2,0,0,2,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0
5,1,1,0,9,3,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
1,4,0,0,7,2,0,1,3,0,0,0,0,6,1,1,1,1,1,1,0,1,0,1,0,0
4,2,342,2,2,6,0,0,3,0,0,0,0,1,1,1,2,2,1,1,1,0,1,0,0,0
6,1,0,0,1,2,0,0,7,0,0,0,0,0,1,1,2,2,2,1,1,1,1,1,0,1
1,4,51,2,3,1,0,5,3,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0
3,1,29,3,7,7,0,0,3,0,0,0,0,1,1,1,1,2,1,1,0,0,1,0,1,0
1,4,0,0,1,2,0,0,7,0,2,1,1,0,1,1,2,2,1,1,1,1,1,1,1,0
2,3,284,8,3,1,0,3,3,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0
4,2,905,28,2,6,0,0,4,1,0,0,0,0,1,1,2,2,1,1,1,0,1,0,0,1
5,1,6,0,2,3,0,0,4,0,0,0,0,0,1,2,2,2,2,1,0,0,1,1,1,0
1,4,0,0,1,2,0,1,5,0,0,0,0,1,1,2,1,1,1,1,0,1,1,1,1,0
